student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1508,Stacy Jones,10th,40,41,40,52,18,55
S1509,Jennifer Nelson,10th,89,78,97,70,2,70
S1510,Jennifer Hudson,11th,40,46,97,59,18,54
S1511,John Moore,9th,97,93,51,70,12,70
S1512,Amanda Clark,8th,65,71,95,43,18,63
S1513,Jennifer Ruiz,8th,84,58,73,95,15,82
S1514,Frank Olson,12th,59,48,35,87,8,64
S1515,Kyle Nguyen,12th,91,40,71,52,14,68
S1516,Ian James,8th,62,79,54,77,19,69
S1517,Daniel Murphy,10th,49,87,86,69,15,73
S1518,Michelle Marshall,10th,98,63,84,97,2,74
S1519,Francisco Mcbride,12th,50,49,45,38,8,50
S1520,Stefanie Bennett,11th,80,79,43,75,9,69
S1521,Julie Morris,8th,80,39,68,79,19,74
S1522,John Hudson,12th,44,61,57,84,10,56
S1523,Lisa Smith,12th,97,81,80,62,2,72
S1524,Jordan Jacobs,8th,40,44,78,76,18,66
S1525,Andrew Mueller,8th,56,32,38,35,7,47
S1526,Tiffany Medina,10th,61,66,87,73,4,63
S1527,Michelle Castillo,11th,73,69,74,51,6,66
S1528,Sean Gonzalez,11th,95,69,51,69,3,62
S1529,Jennifer Brooks,8th,84,85,61,80,5,83
S1530,Joseph Gutierrez,9th,80,52,98,76,11,72
S1531,Andrew Valentine,12th,68,40,98,73,11,71
S1532,Luis Johnson,12th,43,93,71,83,12,71
S1533,Kevin Berger DDS,8th,44,37,82,96,17,80
S1534,Tiffany Rodriguez,9th,50,85,88,72,18,75
S1535,Christopher Perkins,10th,95,89,68,57,17,75
S1536,Amanda Smith,8th,90,39,44,56,8,60
S1537,Ronnie Brown,8th,60,68,58,38,17,61
S1538,Alicia Hernandez,12th,74,57,32,83,4,58
S1539,William Le,8th,51,78,39,93,17,62
S1540,Thomas Hunt,8th,65,65,58,36,9,51
S1541,Amanda Hayes,8th,90,42,64,83,13,75
S1542,Bryce Krueger,12th,58,65,35,65,4,44
S1543,Lisa Valdez,10th,84,55,41,74,18,66
S1544,Fred Li,10th,99,33,67,82,19,79
S1545,Garrett Johnson,8th,46,93,48,85,12,66
S1546,Lauren Walters,12th,86,67,96,77,5,86
S1547,Ronald Mercer,10th,94,51,37,89,17,63
S1548,Ivan Harrison,10th,46,31,37,83,18,50
S1549,Keith Owens,10th,65,60,76,91,10,59
S1550,Christopher Fox,12th,79,40,33,49,7,60
S1551,Jenna Harrison,12th,44,75,80,61,3,54
S1552,Jorge Figueroa,8th,60,91,96,98,10,71
S1553,Rebecca Ortiz,11th,53,98,74,64,7,64
S1554,Rachel Arellano,10th,43,93,37,70,4,49
S1555,Tabitha Hernandez,11th,62,39,45,83,7,53
S1556,Morgan Moss,12th,81,69,96,89,8,79
S1557,Christopher Anderson,12th,59,53,38,90,2,60
S1558,Mary Martinez,12th,54,73,89,78,2,65
S1559,David Johnson,11th,89,89,44,65,6,68
S1560,Amy Frey,12th,91,91,70,92,7,78
S1561,Richard Ingram,8th,84,46,51,87,14,61
S1562,Heather Warren,12th,68,94,53,57,3,52
S1563,Kelly Garrison,9th,47,86,73,62,16,65
S1564,Matthew Rodriguez,11th,80,84,30,50,16,63
S1565,Henry Ray,9th,87,82,39,71,14,68
S1566,Raymond Gentry,12th,58,85,85,55,15,60
S1567,Andrew Jimenez,8th,87,38,79,51,8,62
S1568,Troy Mayer,10th,78,51,41,71,15,71
S1569,Tara Irwin,12th,85,42,89,53,11,65
S1570,Catherine Welch,8th,67,77,55,64,18,65
S1571,Regina Williams,11th,85,47,70,79,15,71
S1572,Shelly Allen,9th,96,69,65,52,9,62
S1573,Brandi Schmidt,9th,66,46,52,96,5,56
S1574,Nicholas Hodges,9th,43,44,72,70,17,62
S1575,Travis Duran,11th,97,44,35,86,14,73
S1576,Brandon Foster,8th,54,92,98,53,19,73
S1577,Timothy Brown,11th,74,68,72,78,15,63
S1578,Sandra Thomas,9th,76,42,54,41,19,59
S1579,Jessica Levine,12th,40,61,47,78,6,64
S1580,Tommy Novak,10th,42,38,91,68,10,57
S1581,Anthony Ramirez,11th,86,69,42,89,4,67
S1582,Daisy Campbell,11th,63,49,72,44,9,51
S1583,Maria Horne,8th,66,92,57,76,11,73
S1584,Jodi Prince,8th,79,73,47,75,4,61
S1585,Megan Clayton,11th,75,67,88,44,12,71
S1586,Thomas Morales,9th,73,89,89,44,12,67
S1587,Brian Fleming,10th,68,77,92,94,18,85
S1588,Holly White,8th,63,47,86,85,17,71
S1589,David Sandoval,9th,63,45,80,55,8,66
S1590,Marc Perry,12th,81,84,85,42,5,69
S1591,Kathy Wilson,8th,43,68,56,99,13,73
S1592,Levi Duncan,9th,42,97,61,64,16,66
S1593,Kristen Brock,9th,73,88,38,83,12,69
S1594,Omar Warner,10th,96,91,97,43,6,75
S1595,Joann Ellis,10th,88,42,75,51,6,57
S1596,Douglas King,12th,62,35,96,92,16,75
S1597,Pamela Hardin,9th,92,89,55,91,19,80
S1598,Dr. Angela Anderson,9th,95,43,37,96,12,70
S1599,Clinton Giles,10th,91,83,35,86,13,78
S1600,John Mack,8th,62,33,53,95,3,65
S1601,Eric Mccormick,8th,84,68,77,74,16,77
S1602,Shannon Rodriguez,11th,44,54,74,72,5,61
S1603,Chelsey Walker,10th,70,61,42,77,19,70
S1604,Kimberly Hall,11th,92,88,98,97,7,86
S1605,Pamela Bryant,10th,80,92,54,53,12,78
S1606,Lauren Bishop,12th,96,67,49,84,3,66
S1607,Jason Simmons,9th,96,82,95,67,9,81
S1608,Christina Golden,12th,99,96,74,47,12,83
S1609,Cheyenne Miller,10th,93,57,76,96,6,83
S1610,Theresa Gonzalez,9th,45,32,92,77,19,64
S1611,Deborah Smith,8th,76,51,84,83,19,81
S1612,Louis Jarvis,8th,96,67,48,70,15,70
S1613,Benjamin Murphy,11th,49,91,64,44,11,57
S1614,Keith Becker,10th,79,86,82,40,4,59
S1615,Robert Hendrix,10th,46,35,55,91,10,60
S1616,Brian Franco,8th,78,61,43,35,4,55
S1617,Mary Hill,12th,77,39,74,92,12,68
S1618,Amber Bell,9th,60,32,73,55,13,57
S1619,Andres Williams,12th,59,88,94,90,13,93
S1620,Nancy Campbell,12th,42,78,80,54,4,63
S1621,Edward Chen MD,8th,90,88,72,88,8,75
S1622,Dr. Harold Copeland Jr.,8th,61,60,52,59,15,64
S1623,Deanna Douglas,8th,86,98,85,62,12,75
S1624,Scott Gonzales,11th,43,91,48,39,8,37
S1625,Karen Calderon,12th,67,81,84,55,11,68
S1626,Mark Ritter,10th,51,70,89,52,12,71
S1627,Daniel Holder,9th,77,60,88,81,16,84
S1628,Chad Russell,11th,90,51,62,91,17,78
S1629,Sherry Russell,10th,75,33,48,53,13,51
S1630,Donna Smith,12th,86,42,57,99,19,77
S1631,Karen Reed,8th,80,74,81,37,14,65
S1632,Matthew Price,12th,44,71,78,76,6,60
S1633,Michael King,9th,52,78,66,55,5,63
S1634,Christopher Fitzpatrick,11th,62,49,55,74,15,59
S1635,Tina Stephenson,11th,97,83,69,59,9,79
S1636,Ashley Perez,9th,89,65,67,89,10,72
S1637,Alicia Franklin,10th,69,30,83,86,4,73
S1638,Jeffery Williams,10th,76,44,51,78,6,52
S1639,Mary Wise,11th,64,46,45,90,19,61
S1640,Brandi Tanner,11th,87,53,57,89,2,66
S1641,Tamara Parsons,8th,66,87,64,53,9,54
S1642,Cassandra Wright,10th,90,52,89,41,18,57
S1643,Luis Brady,9th,53,75,74,97,18,66
S1644,Alexis Browning,10th,96,37,75,76,12,69
S1645,Nicole Torres,8th,87,88,84,76,3,75
S1646,Henry Taylor,11th,98,88,55,93,7,81
S1647,Elizabeth Todd,11th,86,42,54,54,15,60
S1648,Erik Dickerson,8th,93,68,94,51,4,71
S1649,Anthony Forbes,9th,75,57,35,61,13,56
S1650,Dr. Christopher Webster,11th,78,90,52,81,5,74
S1651,Lisa Peterson,12th,55,45,93,36,13,59
S1652,Jennifer Anderson,11th,95,31,72,97,14,73
S1653,Robert Stewart PhD,12th,61,46,52,96,3,63
S1654,Jacob Cunningham,8th,60,59,59,53,3,52
S1655,Ryan Jordan,8th,93,42,47,51,16,54
S1656,Lisa Andrews,11th,60,42,50,73,18,65
S1657,William Garrett,10th,47,72,86,73,8,61
S1658,Sheila Zavala,12th,88,50,52,70,15,71
S1659,April Martin,9th,55,84,74,74,13,71
S1660,Eric Elliott,11th,98,69,73,79,18,81
S1661,Vickie Watson,9th,94,44,76,38,15,55
S1662,Zachary Smith,11th,70,81,69,59,7,73
S1663,Sean Sampson,10th,81,82,80,64,7,70
S1664,David Brown,10th,49,81,71,63,19,71
S1665,Heidi Webb,10th,71,59,36,85,6,60
S1666,Rhonda Ellis,10th,98,62,79,58,7,69
S1667,Gabrielle Munoz,8th,73,86,77,48,3,65
S1668,Elizabeth Thompson DVM,8th,48,81,35,52,9,52
S1669,David Estrada,12th,56,38,38,76,16,54
S1670,Teresa Miller,9th,50,83,86,91,16,76
S1671,Vanessa Cox,11th,71,30,60,46,12,55
S1672,Mason Solis,11th,49,73,50,51,2,53
S1673,Steven Flores,8th,61,38,69,64,19,62
S1674,Debra Liu,11th,96,61,74,57,13,74
S1675,Russell Hunter,8th,56,44,78,35,13,51
S1676,Shari Oconnor,12th,43,41,49,66,12,62
S1677,Mr. Steven Vincent,9th,87,86,46,43,9,70
S1678,Robin Chan,12th,91,37,57,49,8,61
S1679,Erin Ramos,10th,86,56,70,62,3,53
S1680,Katherine Crosby,10th,64,91,95,58,12,76
S1681,Ms. Kendra Hernandez,10th,98,41,54,94,11,70
S1682,Jasmin Thomas,12th,60,94,87,69,4,65
S1683,Michael Bender,11th,76,71,70,61,11,66
S1684,Taylor Mills,9th,77,91,35,54,19,63
S1685,Paul Wright,10th,88,40,67,99,15,78
S1686,Mary Beasley,10th,40,72,35,83,19,69
S1687,Mary Price,10th,64,46,74,35,9,57
S1688,Christopher Schwartz,9th,90,61,43,44,11,73
S1689,Garrett Pruitt,10th,75,69,95,81,14,71
S1690,Kayla James,9th,56,52,69,93,9,63
S1691,Norma Avery,10th,80,85,32,96,5,65
S1692,Lisa Fox,12th,63,35,53,52,5,54
S1693,Jason Scott,12th,41,79,48,80,6,57
S1694,Stephen Ross,9th,79,66,47,66,2,60
S1695,Austin Graves,12th,54,93,93,61,18,78
S1696,Emily Swanson,9th,71,83,64,52,3,54
S1697,Maria Goodwin,12th,78,78,91,73,9,72
S1698,Thomas James,12th,98,40,30,83,8,68
S1699,Corey Townsend,9th,45,78,54,78,16,62
S1700,Brian Wallace,11th,40,50,74,88,6,51
S1701,Bryan Wallace,12th,86,95,78,68,3,70
S1702,Victoria Craig,10th,62,92,45,70,8,62
S1703,Michael Taylor,11th,97,57,48,52,9,63
S1704,Janet Holland,9th,78,46,52,72,8,60
S1705,Brandon Huang,11th,96,35,54,93,8,65
S1706,Chris Duncan,8th,56,48,45,43,15,55
S1707,Molly Foster,8th,73,85,83,85,19,81
S1708,Randy Smith,12th,98,57,30,69,7,63
S1709,Linda Foster,12th,80,95,71,39,5,62
S1710,Morgan Cruz,10th,68,67,48,48,11,65
S1711,Sarah Reed,11th,48,66,63,64,19,61
S1712,Nicole Reed,8th,52,97,84,38,13,65
S1713,Ryan Young,12th,45,78,47,73,17,68
S1714,Mike Crawford,11th,45,72,63,98,8,68
S1715,Courtney Jacobs,12th,59,65,74,59,7,62
S1716,Joshua Moore,12th,91,87,35,62,6,55
S1717,Pamela Kennedy,8th,92,42,50,56,4,60
S1718,Melissa Stewart,8th,42,81,99,65,13,69
S1719,Devin Hudson,12th,56,87,77,57,16,71
S1720,Robert Smith,9th,88,61,68,82,11,74
S1721,Brendan Owens,12th,51,89,60,54,17,61
S1722,Michelle Walker,12th,87,87,39,72,12,75
S1723,Stacey Harmon,10th,86,85,59,89,9,78
S1724,Wesley Williams,10th,84,57,47,35,4,46
S1725,Hannah May,10th,94,30,89,41,8,68
S1726,Melanie Crawford,9th,40,71,44,91,8,52
S1727,David Rollins,9th,56,77,33,46,15,59
S1728,Brittany Johnson,12th,42,69,92,39,3,61
S1729,Joseph Kirby,10th,65,92,69,84,11,69
S1730,Christopher Ramirez,9th,54,33,38,76,10,51
S1731,Katelyn Anderson,8th,75,67,38,46,17,58
S1732,Benjamin Parker,12th,71,56,55,52,19,61
S1733,Edwin Wells,11th,71,38,33,51,10,58
S1734,Joseph Graham,12th,43,45,45,96,17,55
S1735,Kevin Cummings,11th,57,85,44,75,14,64
S1736,April Cortez,10th,88,60,81,68,11,80
S1737,Robin Turner,11th,58,43,98,79,15,68
S1738,Troy Lopez,10th,82,54,34,92,13,62
S1739,Selena Todd,8th,91,63,49,85,8,71
S1740,Rebecca Miller,11th,74,96,47,68,16,76
S1741,Ethan Pitts,12th,79,53,31,78,17,62
S1742,Troy Craig,10th,53,55,42,49,9,52
S1743,Diane Morales,12th,97,49,33,84,11,60
S1744,Mrs. Lauren Jackson DVM,9th,72,93,71,66,5,63
S1745,Alicia Burton,10th,53,39,90,37,16,54
S1746,Margaret Holden,11th,73,96,37,85,15,76
S1747,Ashley Munoz,10th,94,53,96,82,2,78
S1748,David Thomas,12th,43,34,92,51,17,51
S1749,Curtis Osborn,8th,63,96,38,41,11,61
S1750,Susan Shields,10th,98,87,40,47,4,64
S1751,Sharon Peterson,11th,68,56,71,38,6,50
S1752,Melissa Sims,9th,58,44,42,44,10,41
S1753,Jonathan Brown,8th,45,64,65,51,19,60
S1754,Patricia Adams,9th,96,82,42,86,12,82
S1755,Denise Costa,10th,72,73,41,40,17,59
S1756,Daniel Hernandez,12th,88,55,66,43,3,53
S1757,Ryan Blankenship,12th,79,76,81,55,13,62
S1758,Steven Parks,11th,58,63,31,58,7,58
S1759,Michael Mejia,12th,92,79,85,38,12,76
S1760,Matthew Diaz,8th,40,41,89,58,9,56
S1761,Alicia Rogers,12th,44,33,52,93,13,65
S1762,Bobby Bell,11th,66,77,69,37,3,57
S1763,Sherri Bell,10th,55,84,93,74,10,69
S1764,James Collins,10th,45,30,52,82,16,58
S1765,Lisa Bailey,12th,79,95,58,88,3,69
S1766,Dennis Rice,9th,52,59,80,69,2,54
S1767,Kevin Johnson,10th,87,32,98,90,11,79
S1768,Larry Obrien,12th,74,50,60,74,3,64
S1769,Evan Kirby,11th,58,78,79,80,13,66
S1770,Michael Myers,12th,51,91,49,47,9,50
S1771,Vanessa Robinson,10th,55,67,84,61,6,59
S1772,Brad Giles,11th,98,44,31,40,2,46
S1773,Matthew Miller,12th,82,81,54,51,16,70
S1774,David Jackson,8th,49,75,42,70,7,56
S1775,John Randall,11th,64,54,99,36,13,67
S1776,Jennifer Ramirez,8th,59,50,96,86,9,71
S1777,Jennifer Grant,9th,70,34,87,86,14,66
S1778,Mark Petty,11th,43,99,93,77,2,59
S1779,Scott Mcgee,8th,83,76,98,56,12,76
S1780,Scott Swanson,10th,62,97,88,89,2,67
S1781,Chelsey Graves,10th,41,47,89,94,9,62
S1782,Emily Myers,9th,95,50,91,92,6,74
S1783,Michael Williams,11th,61,52,45,46,18,52
S1784,Angela King,11th,90,93,97,73,9,76
S1785,Tyler Keller,11th,96,96,44,47,11,65
S1786,James Jenkins,9th,76,69,84,75,3,75
S1787,Christina Wood,11th,47,39,64,91,10,65
S1788,Jeffrey Newton,10th,46,81,84,87,4,75
S1789,Dylan Luna,8th,53,90,43,46,19,60
S1790,Denise Higgins,10th,95,93,78,47,8,75
S1791,John Lowe,10th,94,34,36,91,16,74
S1792,Christopher Cuevas,8th,42,82,59,74,19,59
S1793,Melissa Fernandez,10th,89,84,78,79,4,80
S1794,Peggy Rogers,9th,55,66,45,69,15,67
S1795,John White,8th,94,85,80,37,3,62
S1796,Maria Lewis,10th,58,88,71,39,15,70
S1797,Melissa Page DDS,12th,90,98,46,45,12,78
S1798,Kathleen Lloyd,10th,57,88,92,90,17,85
S1799,Daniel Ortega,9th,91,31,74,44,9,62
S1800,Matthew Brown,11th,55,94,36,68,8,55
S1801,Annette Thompson,10th,47,89,56,65,12,68
S1802,Bradley Jones,11th,99,80,39,75,4,64
S1803,Cassidy Johnson MD,12th,72,59,63,97,18,77
S1804,Corey Stephens,10th,88,40,65,66,15,69
S1805,Kenneth Adams,8th,51,68,54,54,7,37
S1806,Steven Johnson,11th,92,92,35,91,9,77
S1807,Kim Williams,12th,50,93,53,84,6,78
S1808,Kerry Young,8th,44,90,47,59,9,47
S1809,Rachel Jackson,8th,66,83,35,46,3,52
S1810,Michael Thomas,8th,51,87,58,73,16,58
S1811,Michaela Snyder,8th,56,85,54,51,13,56
S1812,Katie Wilcox,10th,45,63,84,79,18,59
S1813,Travis Hughes,10th,72,60,75,45,2,58
S1814,Stephanie Parker,10th,44,81,53,57,16,64
S1815,Natasha Thornton,12th,96,30,55,72,15,68
S1816,Randy Brown,12th,67,84,57,36,17,57
S1817,Holly Levine,12th,53,51,32,71,10,49
S1818,Nicole Gardner,9th,44,69,67,83,2,61
S1819,Dwayne Clay,12th,93,30,90,86,18,73
S1820,April Harris,10th,95,94,80,67,14,75
S1821,Nathaniel Wallace,10th,98,92,77,56,6,74
S1822,Jamie Jones,9th,72,83,50,39,11,55
S1823,Tiffany Dennis,9th,89,71,83,52,7,71
S1824,Claudia Simmons,12th,87,50,85,72,14,80
S1825,Jill Baker,11th,80,51,88,71,2,79
S1826,Michael Gutierrez,9th,58,67,80,98,16,78
S1827,Daniel Perez,8th,61,37,49,44,15,54
S1828,Dawn Hernandez,10th,44,91,88,76,9,67
S1829,Jesus Howard,8th,98,76,38,82,11,70
S1830,Ryan Avila,10th,41,46,30,78,10,56
S1831,Brian Myers,10th,69,46,58,50,18,58
S1832,William Sampson,9th,86,42,92,88,10,75
S1833,Richard Christian,9th,78,46,85,69,4,71
S1834,Kristen Serrano DVM,8th,43,67,97,62,12,63
S1835,Michael Shaffer,10th,72,74,64,36,13,68
S1836,Amber Henderson,8th,52,35,32,47,11,46
S1837,Sheri Elliott,11th,59,64,36,75,18,64
S1838,Sarah Gibson,8th,93,43,56,93,18,72
S1839,Gregory Coleman,12th,46,90,30,87,12,65
S1840,Ms. Stacy Carter,8th,54,44,73,79,5,57
S1841,John Sullivan,12th,62,83,70,54,8,65
S1842,Kevin Vargas,12th,53,56,71,58,15,60
S1843,Tiffany Martin,12th,62,42,62,95,8,68
S1844,Lisa Jones,11th,58,60,79,92,9,69
S1845,Matthew Salinas,8th,93,64,92,61,2,80
S1846,Alicia Martinez,8th,68,89,66,60,5,64
S1847,Stephanie Silva,11th,95,35,88,41,13,62
S1848,Steven Owens,10th,59,98,77,76,4,72
S1849,Adrian Miller,9th,68,87,34,81,14,73
S1850,Nicole Perry,8th,63,78,77,87,7,77
S1851,Carl Chaney,9th,57,52,32,93,12,61
S1852,Gloria King,11th,49,63,76,72,5,62
S1853,Jeffrey Delgado,10th,80,55,91,87,17,81
S1854,Erin Roberts,10th,96,76,43,49,8,58
S1855,Steven Lopez,10th,47,34,92,60,12,63
S1856,Scott Davis,11th,65,49,90,82,2,59
S1857,Matthew Diaz,12th,68,35,60,53,8,47
S1858,Jose Mcdonald,12th,49,99,46,43,13,58
S1859,Victor Mccullough,9th,56,88,53,98,8,69
S1860,Cole Bray,12th,41,93,52,88,8,69
S1861,Christina Johnson,12th,45,47,79,85,11,65
S1862,Christopher Lawson,10th,97,33,99,73,17,78
S1863,Sherry Daniels,10th,44,46,56,38,9,39
S1864,Stephen Rivera,9th,67,43,44,37,10,48
S1865,Matthew Bennett,8th,80,42,79,98,10,73
S1866,Amy Snyder,9th,44,36,65,63,3,49
S1867,Christopher Powell,9th,57,73,37,45,14,52
S1868,Parker Riley,11th,65,44,32,92,14,64
S1869,Margaret Dean,11th,59,48,91,61,5,58
S1870,Alison Glenn,9th,80,92,76,55,13,75
S1871,Katherine Lopez,9th,88,64,90,73,18,84
S1872,Samuel Mendez,9th,66,64,61,80,3,60
S1873,Jesus Cordova,12th,88,48,42,70,14,60
S1874,Louis Bennett,11th,51,49,30,99,19,65
S1875,Jane Parks,9th,46,64,63,97,16,62
S1876,Jeffrey Solomon,10th,98,61,91,69,9,82
S1877,Nathaniel Smith,10th,42,77,60,65,16,62
S1878,Tammy Malone,12th,49,73,93,62,2,61
S1879,Robert Harrison,12th,73,53,54,35,11,56
S1880,Theresa Hardy,8th,64,90,67,59,13,71
S1881,Paula Stewart,8th,74,46,43,77,6,58
S1882,Timothy Hartman,8th,55,79,37,97,10,70
S1883,Tom Strong DDS,12th,41,94,83,85,9,68
S1884,George Evans,12th,99,61,31,36,17,64
S1885,Kenneth Mckee,12th,63,65,85,98,15,72
S1886,Stacy Goodman,10th,49,42,90,43,14,58
S1887,Brenda Moody,12th,77,99,51,36,14,63
S1888,Keith Watkins,10th,61,87,64,68,6,58
S1889,Natasha Riggs,8th,65,43,45,94,17,67
S1890,Amanda Ford,8th,82,66,79,95,12,79
S1891,Vincent Owens,8th,94,97,72,65,6,68
S1892,Nicholas Kennedy,9th,78,69,46,44,14,49
S1893,Edward Roberts,9th,66,88,87,70,12,74
S1894,Teresa Smith,11th,68,45,31,83,4,63
S1895,Ebony Avery,11th,86,91,33,83,16,76
S1896,Mark Cobb,11th,77,33,68,37,8,49
S1897,Lee Acosta,9th,59,74,35,39,8,55
S1898,Steven Campbell,9th,66,57,98,95,7,79
S1899,Regina Camacho,11th,80,95,98,60,4,81
